Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
HYIN,14563,0,0.00,200,17.70,17.82,14063,500
FYLD,14549,0,0.00,0,0.00,25.16,7144,7405
RSBT,14470,0,0.00,0,0.00,16.71,14418,52
GCOW,13960,0,0.00,34,32.64,33.58,13960,0
SHYD,13727,0,0.00,0,0.00,22.57,9845,3882
NJAN,13694,0,0.00,0,0.00,48.07,13694,0
KNOV,13600,0,0.00,0,0.00,25.29,13600,0
IBHI,13547,0,0.00,0,0.00,23.45,13547,0
FLQM,13429,0,0.00,0,0.00,54.19,13429,0
DDEC,13215,0,0.00,0,0.00,40.22,7485,5730
BBUS,13175,0,0.00,3,106.00,106.36,12574,601
XMPT,12609,0,0.00,0,0.00,21.33,12309,300
SMMD,12455,0,0.00,0,0.00,67.91,12455,0
BUYW,12447,0,0.00,0,0.00,13.96,12447,0
CEFS,12218,0,0.00,100,21.00,21.44,12207,11
MDPL,11744,0,0.00,0,0.00,25.18,11744,0
LQDW,11350,97,26.45,0,0.00,26.34,9450,1900
WEED,11302,0,0.00,3,15.17,15.58,11302,0
OUSM,10698,0,0.00,0,0.00,43.60,10698,0
RBUF,10601,0,0.00,0,0.00,26.28,10601,0
SMAX,10413,0,0.00,0,0.00,25.25,10413,0
FDEC,10308,0,0.00,0,0.00,44.76,10308,0
XVV,10302,0,0.00,0,0.00,45.61,10302,0
IBHG,10167,0,0.00,0,0.00,22.20,10167,0
BALI,9977,5,30.55,5,30.35,30.39,9977,0
PSFF,9918,0,0.00,0,0.00,29.34,9918,0
IBHH,9855,0,0.00,0,0.00,23.41,9855,0
EMGF,9679,0,0.00,0,0.00,45.38,9119,560
ACIO,9598,0,0.00,0,0.00,40.30,9598,0
BUFQ,9580,0,0.00,0,0.00,31.58,9580,0
EZET,9416,7000,25.49,3500,25.43,25.83,9416,0
EYLD,9355,0,0.00,0,0.00,31.50,7755,1600
ICF,9340,0,0.00,100,59.01,59.67,9340,0
FCPI,9268,0,0.00,1,43.05,43.44,9175,93
GAA,9206,0,0.00,0,0.00,28.55,9206,0
SDVD,9201,0,0.00,0,0.00,21.42,9201,0
DDWM,9099,0,0.00,0,0.00,34.23,9099,0
SYLD,9057,0,0.00,7,67.87,68.05,9057,0
BBRE,9056,0,0.00,0,0.00,92.83,9056,0
GARP,9026,0,0.00,0,0.00,56.65,9026,0
ETU,8983,33,39.18,234,38.32,39.29,8983,0
PNOV,8914,0,0.00,0,0.00,37.91,8914,0
VCEB,8775,0,0.00,0,0.00,62.14,8775,0
FRDM,8771,0,0.00,0,0.00,32.86,8771,0
MBCC,8662,0,0.00,0,0.00,34.61,8662,0
IETC,8650,0,0.00,122,83.00,86.00,8650,0
GSST,8604,0,0.00,0,0.00,50.45,8604,0
XJH,8558,0,0.00,0,0.00,41.66,8513,45
KWT,8527,0,0.00,0,0.00,31.95,8527,0
TOKE,8436,0,0.00,7,4.95,5.08,7736,700
DWLD,8386,0,0.00,0,0.00,36.42,8386,0
ETQ,8316,500,9.77,386,9.62,9.93,8315,1
ESML,8282,0,0.00,0,0.00,41.99,8282,0
OVB,8244,0,0.00,0,0.00,20.30,8244,0
JANH,8191,0,0.00,0,0.00,25.03,8191,0
DIVB,8093,0,0.00,0,0.00,47.21,7940,153
CETH,7959,8400,16.78,5000,16.74,16.98,7927,32
GDE,7707,0,0.00,0,0.00,37.04,7707,0
NUDM,7551,0,0.00,0,0.00,30.14,6489,1062
FLHY,7506,0,0.00,0,0.00,23.86,7506,0
TMFG,7358,0,0.00,6,27.00,28.41,6769,589
MEAR,7283,0,0.00,0,0.00,49.99,7283,0
IGHG,7253,0,0.00,0,0.00,77.99,7190,63
CAOS,7217,139,88.14,200,87.10,87.36,7216,1
XDEC,7215,0,0.00,0,0.00,37.30,7215,0
PAUG,7185,0,0.00,0,0.00,38.54,7185,0
EMHY,7060,0,0.00,0,0.00,38.03,7060,0
UJAN,7020,0,0.00,0,0.00,38.93,7020,0
ZDEK,6986,0,0.00,0,0.00,23.95,4988,1998
JPLD,6776,0,0.00,0,0.00,51.70,6776,0
BUFZ,6718,0,0.00,0,0.00,23.97,6718,0
GOLY,6701,0,0.00,0,0.00,23.86,6701,0
CLSE,6618,0,0.00,0,0.00,23.07,6618,0
FLIA,6617,0,0.00,0,0.00,20.24,6617,0
SMDV,6613,0,0.00,0,0.00,67.58,6613,0
EPRF,6567,0,0.00,0,0.00,18.31,6567,0
DSCF,6425,0,0.00,0,0.00,22.34,6425,0
NULV,6337,0,0.00,0,0.00,39.27,5934,403
KJAN,6263,0,0.00,0,0.00,37.35,6263,0
PAPR,6237,0,0.00,0,0.00,36.73,6237,0
NUMV,6210,0,0.00,0,0.00,34.72,6210,0
FLDR,6194,0,0.00,0,0.00,49.93,6194,0
VFMO,6147,0,0.00,25,164.00,165.02,6147,0
FFLG,6117,0,0.00,0,0.00,25.34,5881,236
ITWO,6107,0,0.00,1,39.00,39.65,6107,0
FDEM,6092,0,0.00,0,0.00,25.36,6092,0
REGL,5952,0,0.00,0,0.00,80.48,5950,2
PRNT,5892,4,22.88,11,20.00,21.14,5838,54
XSHQ,5887,0,0.00,0,0.00,42.43,5887,0
AOCT,5881,0,0.00,0,0.00,24.96,5881,0
IBMQ,5863,0,0.00,0,0.00,25.17,5863,0
BUFS,5720,0,0.00,0,0.00,21.26,5720,0
KHPI,5701,0,0.00,0,0.00,25.43,5701,0
NUSC,5579,0,0.00,0,0.00,41.81,5579,0
TYA,5553,0,0.00,0,0.00,12.34,5553,0
FCLD,5522,0,0.00,1,26.88,27.73,3322,2200
GLOV,5508,0,0.00,1,49.30,49.46,5508,0
RSST,5489,0,0.00,0,0.00,23.80,5289,200
BGLD,5476,0,0.00,0,0.00,18.22,5476,0
ARKD,5465,0,0.00,0,0.00,47.91,5465,0
CEMB,5429,0,0.00,0,0.00,44.43,5429,0
DDLS,5419,0,0.00,0,0.00,34.64,5419,0
GTIP,5390,0,0.00,0,0.00,48.30,5390,0
SATO,5344,0,0.00,0,0.00,19.41,5344,0
IYJ,5303,0,0.00,0,0.00,133.56,5303,0
TMFM,5275,0,0.00,0,0.00,25.79,5074,201
FPFD,5189,0,0.00,0,0.00,22.50,4989,200
OVT,5176,0,0.00,0,0.00,21.99,5176,0
VTEI,5175,0,0.00,0,0.00,99.47,5175,0
UDEC,5140,0,0.00,0,0.00,35.23,4700,440
DINT,5120,0,0.00,0,0.00,21.89,5120,0
HEGD,5062,0,0.00,0,0.00,22.53,5062,0
OILK,5055,0,0.00,0,0.00,43.84,5055,0
RSSY,5013,0,0.00,0,0.00,20.40,3338,1675
MAXJ,4953,0,0.00,0,0.00,26.16,4753,200
ETHV,4907,0,0.00,2000,49.01,49.74,4907,0
QDEC,4813,0,0.00,0,0.00,27.68,3513,1300
FFLC,4807,0,0.00,686,45.77,46.09,4806,1
ZSEP,4712,0,0.00,0,0.00,25.08,4712,0
FDRV,4698,0,0.00,0,0.00,13.43,2185,2513
VCRM,4678,0,0.00,0,0.00,74.60,4678,0
HYGW,4676,0,0.00,100,31.40,31.78,4476,200
FFOG,4593,0,0.00,0,0.00,40.44,4593,0
IDUB,4552,0,0.00,0,0.00,20.10,4452,100
ZECP,4533,0,0.00,0,0.00,30.51,4386,147
DECU,4517,0,0.00,0,0.00,24.64,4517,0
PMAY,4500,0,0.00,0,0.00,35.96,4100,400
HYBL,4392,0,0.00,1,28.35,28.36,4392,0
VFQY,4296,0,0.00,0,0.00,140.86,4295,1
ZVOL,4267,0,0.00,1,18.60,18.94,4267,0
BBIN,4244,0,0.00,0,0.00,57.07,3130,1114
MSFX,4211,200,26.63,66,26.39,26.57,4211,0
BOXA,4200,0,0.00,0,0.00,99.80,4200,0
MARM,4195,0,0.00,0,0.00,30.90,4195,0
TSLP,4180,0,0.00,0,0.00,32.49,4178,2
IBHJ,4162,19,27.09,0,0.00,26.05,4162,0
FMAG,4160,0,0.00,0,0.00,31.11,3836,324
RSEE,4149,0,0.00,0,0.00,28.68,4149,0
VFVA,4147,0,0.00,0,0.00,117.75,4147,0
DFNL,4104,0,0.00,0,0.00,38.10,4104,0
RSSB,4083,0,0.00,0,0.00,23.41,3965,118
GOOX,4062,200,32.26,1,32.10,32.38,4062,0
SECT,4043,0,0.00,0,0.00,55.22,4043,0
FPAG,3936,0,0.00,0,0.00,30.39,3936,0
TMFE,3914,0,0.00,0,0.00,26.45,3914,0
DFEB,3902,0,0.00,0,0.00,42.82,3902,0
FMAY,3864,0,0.00,0,0.00,47.58,3864,0
AMZP,3822,0,0.00,1,31.90,34.05,3822,0
SMMV,3808,0,0.00,0,0.00,41.36,3808,0
XJR,3803,0,0.00,0,0.00,41.10,3803,0
NFLU,3776,251,38.49,250,37.00,37.86,3776,0
KOCT,3768,0,0.00,0,0.00,30.54,3768,0
ZOCT,3757,0,0.00,1,25.22,25.28,3757,0
TMFS,3755,0,0.00,0,0.00,35.37,3755,0
OMFS,3545,0,0.00,0,0.00,39.58,3402,143
PJUL,3544,0,0.00,0,0.00,41.25,3544,0
PTMC,3525,0,0.00,0,0.00,36.83,3525,0
BJUN,3496,0,0.00,0,0.00,41.65,3196,300
BLDG,3468,0,0.00,0,0.00,25.03,3468,0
XJUN,3451,0,0.00,0,0.00,38.66,3451,0
PMAR,3433,0,0.00,0,0.00,40.22,3433,0
AAPX,3425,51,32.88,51,32.11,32.55,3425,0
BBEM,3334,0,0.00,0,0.00,51.33,3334,0
KRUZ,3330,0,0.00,0,0.00,32.36,3330,0
KJUN,3308,0,0.00,0,0.00,26.95,3308,0
IGLD,3284,0,0.00,0,0.00,18.78,3088,196
KAPR,3270,0,0.00,0,0.00,32.57,3270,0
VFMV,3235,0,0.00,35,120.00,120.47,3235,0
SVAL,3185,0,0.00,0,0.00,32.34,3185,0
TMAT,3163,0,0.00,0,0.00,21.21,2441,722
VFMF,3088,0,0.00,30,130.00,130.35,3088,0
IBHK,3036,0,0.00,0,0.00,25.31,3036,0
OSCV,3029,0,0.00,0,0.00,36.89,3029,0
GOOP,3012,0,0.00,0,0.00,31.72,2725,287
TOLL,2994,0,0.00,32,30.92,31.70,2994,0
BUFF,2917,0,0.00,0,0.00,45.02,2796,121
SMOT,2863,0,0.00,0,0.00,34.43,2863,0
DHDG,2838,0,0.00,0,0.00,30.72,2838,0
FLQL,2700,0,0.00,0,0.00,58.88,2700,0
XSEP,2698,0,0.00,0,0.00,38.94,2698,0
HYXU,2682,0,0.00,0,0.00,47.31,2682,0
FNOV,2676,0,0.00,0,0.00,47.95,2676,0
DRAG,2669,30,21.31,102,21.00,21.21,2669,0
GHTA,2655,0,0.00,0,0.00,28.21,2655,0
KDEC,2615,0,0.00,0,0.00,23.97,2615,0
JUCY,2607,0,0.00,0,0.00,22.79,2607,0
PBTP,2585,0,0.00,0,0.00,25.39,2357,228
ABLG,2555,0,0.00,0,0.00,28.63,2455,100
FBCV,2517,0,0.00,0,0.00,31.52,2517,0
NAPR,2509,0,0.00,0,0.00,50.60,2509,0
TDV,2502,0,0.00,0,0.00,75.50,2502,0
SNOV,2482,0,0.00,0,0.00,23.09,2482,0
YETH,2481,0,0.00,0,0.00,49.99,2462,19
SHAG,2462,0,0.00,0,0.00,47.18,2462,0
PSEP,2409,0,0.00,0,0.00,39.15,2409,0
NULG,2406,0,0.00,0,0.00,86.53,2406,0
OUSA,2382,0,0.00,0,0.00,53.05,2382,0
BDEC,2321,0,0.00,0,0.00,43.12,2321,0
TAIL,2311,0,0.00,0,0.00,11.18,2311,0
BUSA,2287,0,0.00,0,0.00,31.57,2287,0
URAN,2249,0,0.00,2,27.45,28.92,2249,0
TDVI,2242,0,0.00,0,0.00,24.18,2240,2
IGE,2238,0,0.00,0,0.00,42.31,2238,0
VXZ,2198,0,0.00,24,41.38,50.70,2198,0
FJAN,2189,0,0.00,0,0.00,45.94,2189,0
IZRL,2149,0,0.00,0,0.00,22.23,2145,4
QUVU,2130,0,0.00,0,0.00,24.33,2130,0
BBIB,2106,0,0.00,0,0.00,96.63,2106,0
TMFX,2093,0,0.00,0,0.00,19.60,2017,76
USEP,2089,0,0.00,0,0.00,35.28,2089,0
FFEB,2075,0,0.00,0,0.00,49.89,2075,0
IVRA,2073,0,0.00,0,0.00,15.35,2021,52
HAUS,2070,0,0.00,0,0.00,17.91,2070,0
EFAD,2005,0,0.00,0,0.00,37.04,2005,0
DOGG,1977,0,0.00,0,0.00,18.97,1977,0
EALT,1977,0,0.00,0,0.00,32.36,1977,0
NOCT,1922,0,0.00,0,0.00,51.44,1922,0
HOCT,1902,0,0.00,0,0.00,23.94,1902,0
RODE,1901,0,0.00,0,0.00,27.60,1901,0
BAUG,1886,0,0.00,0,0.00,43.77,1886,0
EAOM,1886,0,0.00,0,0.00,27.47,1886,0
ABOT,1885,0,0.00,0,0.00,36.53,1744,141
XDSQ,1868,0,0.00,0,0.00,36.82,1868,0
BNOV,1839,0,0.00,0,0.00,39.33,1839,0
XFEB,1837,0,0.00,0,0.00,32.69,1837,0
POCT,1832,0,0.00,0,0.00,39.65,1832,0
DMAY,1806,0,0.00,0,0.00,40.85,1806,0
XVOL,1802,0,0.00,0,0.00,21.46,1802,0
FHDG,1801,0,0.00,0,0.00,30.80,1801,0
MDLV,1800,0,0.00,0,0.00,25.62,1800,0
OCTM,1800,0,0.00,0,0.00,30.56,1800,0
ZALT,1792,0,0.00,0,0.00,29.91,1792,0
LEAD,1774,0,0.00,0,0.00,66.65,1774,0
GHYG,1766,0,0.00,0,0.00,44.19,1766,0
FPRO,1761,0,0.00,0,0.00,22.11,1761,0
HYHG,1760,0,0.00,0,0.00,65.68,1760,0
FAUG,1754,0,0.00,0,0.00,46.65,1754,0
ZNOV,1700,0,0.00,0,0.00,25.16,1700,0
BKGI,1688,0,0.00,0,0.00,30.24,1688,0
TBJL,1621,0,0.00,0,0.00,19.65,1621,0
SEPM,1590,0,0.00,0,0.00,29.85,1590,0
QMNV,1582,0,0.00,0,0.00,20.31,1582,0
PBP,1559,0,0.00,0,0.00,23.59,1559,0
QPFF,1531,0,0.00,0,0.00,35.98,1531,0
VSDM,1522,0,0.00,0,0.00,74.81,1522,0
QMAR,1505,0,0.00,0,0.00,29.86,1505,0
XJAN,1499,0,0.00,0,0.00,33.65,1499,0
SEIM,1456,0,0.00,0,0.00,38.86,1456,0
DNOV,1450,0,0.00,0,0.00,42.94,1450,0
RTAI,1436,0,0.00,0,0.00,21.10,1436,0
SEIV,1405,0,0.00,0,0.00,33.18,1405,0
QLC,1394,0,0.00,0,0.00,66.64,1394,0
GJUN,1377,0,0.00,0,0.00,36.11,1377,0
NDOW,1377,0,0.00,0,0.00,24.29,1377,0
NUMG,1361,0,0.00,0,0.00,47.76,1354,7
XBJA,1357,0,0.00,0,0.00,28.83,1104,253
UAUG,1311,0,0.00,0,0.00,35.60,1311,0
GMOM,1291,0,0.00,0,0.00,28.76,1291,0
XUSP,1287,0,0.00,0,0.00,40.48,1287,0
ADME,1280,0,0.00,0,0.00,46.92,1280,0
XMAY,1257,0,0.00,0,0.00,31.58,1257,0
QSIG,1252,0,0.00,0,0.00,48.05,1252,0
BAMY,1243,0,0.00,0,0.00,26.53,1243,0
USMF,1235,0,0.00,0,0.00,49.66,1179,56
FDEV,1222,0,0.00,0,0.00,27.34,1222,0
MSMR,1221,0,0.00,0,0.00,30.25,1221,0
BRLN,1215,50,52.52,0,0.00,52.49,1215,0
ENOR,1203,0,0.00,0,0.00,22.39,1203,0
QETH,1202,5200,33.50,3000,33.42,33.94,1202,0
GEMD,1174,0,0.00,0,0.00,40.22,1174,0
TUSI,1118,0,0.00,0,0.00,25.30,1118,0
FFSM,1117,0,0.00,0,0.00,26.84,1117,0
BUFY,1103,0,0.00,0,0.00,18.80,1103,0
XTOC,1100,0,0.00,0,0.00,29.54,1100,0
HFGO,1081,0,0.00,0,0.00,23.91,1081,0
LKOR,1076,0,0.00,0,0.00,42.12,1076,0
GVAL,1033,0,0.00,0,0.00,20.92,1033,0
NUEM,1032,0,0.00,0,0.00,29.02,1032,0
BMAY,1018,0,0.00,0,0.00,40.38,1018,0
BJAN,1007,0,0.00,0,0.00,47.95,1007,0
PSCQ,1005,0,0.00,0,0.00,26.59,1005,0
XDAT,1003,0,0.00,0,0.00,25.54,1003,0
RMIF,1000,0,0.00,0,0.00,25.30,1000,0
SHEH,1000,0,0.00,0,0.00,46.80,1000,0
XIDE,981,0,0.00,0,0.00,30.16,981,0
DAPR,965,0,0.00,0,0.00,37.27,965,0
NULC,945,0,0.00,0,0.00,45.64,945,0
FBUF,935,0,0.00,0,0.00,27.49,935,0
QHY,932,0,0.00,0,0.00,45.11,932,0
INTL,926,0,0.00,0,0.00,22.17,926,0
KJUL,925,0,0.00,0,0.00,29.42,925,0
GPOW,916,0,0.00,0,0.00,52.70,916,0
JEMA,915,0,0.00,0,0.00,37.49,904,11
NFLP,914,0,0.00,0,0.00,36.33,914,0
